"_iterations","baselearner","train_risk"
526,"oldpeak_spline",0.512743661299888
527,"cp_source_tensor",0.512694620342572
528,"thalach_spline",0.512620842020654
529,"exang_source_tensor",0.512572086857016
530,"cp_source_tensor",0.512523385079903
531,"exang_source_tensor",0.512474866146801
532,"exang_source_tensor",0.512426499409331
533,"trestbps_spline",0.512359310567982
534,"cp_source_tensor",0.512310935611696
535,"exang_source_tensor",0.512262810529209
536,"cp_source_tensor",0.512214684122093
537,"exang_source_tensor",0.512166791823776
538,"cp_source_tensor",0.512118912455597
539,"sex_one-hot",0.512027875742499
540,"exang_source_tensor",0.511980267534424
541,"cp_source_tensor",0.51193269838034
542,"exang_source_tensor",0.511885319998658
543,"oldpeak_spline",0.511818957668144
544,"trestbps_spline",0.511753329710814
545,"cp_source_tensor",0.511706023449374
546,"exang_source_tensor",0.511658950086611
547,"cp_source_tensor",0.511611885947079
548,"exang_source_tensor",0.511565039453334
549,"cp_source_tensor",0.511518215966964
550,"exang_source_tensor",0.511471595059177
551,"thalach_spline",0.511401843421115
552,"cp_source_tensor",0.511355338467207
553,"exang_source_tensor",0.511309029504834
554,"cp_source_tensor",0.511262761821444
555,"trestbps_spline",0.511198727610696
556,"exang_source_tensor",0.511152647655318
557,"cp_source_tensor",0.511106609139825
558,"exang_source_tensor",0.511060750435714
559,"cp_source_tensor",0.511014946391462
560,"exang_source_tensor",0.510969307690322
561,"sex_one-hot",0.510882205281562
562,"oldpeak_spline",0.510818343994953
563,"cp_source_tensor",0.510772857301893
564,"exang_source_tensor",0.510727551158075
565,"cp_source_tensor",0.510682295630602
566,"trestbps_spline",0.510619734822812
567,"exang_source_tensor",0.510574651626834
568,"cp_source_tensor",0.510529619104188
569,"exang_source_tensor",0.510484751578846
570,"exang_source_tensor",0.510440023746249
571,"cp_source_tensor",0.510395294436337
572,"exang_source_tensor",0.51035078037493
573,"thalach_spline",0.510284653398745
574,"cp_source_tensor",0.510240223384391
575,"exang_source_tensor",0.510196001368554
576,"cp_source_tensor",0.510151796101431
577,"trestbps_spline",0.510090748657123
578,"exang_source_tensor",0.510046742992597
579,"cp_source_tensor",0.510002754290907
580,"oldpeak_spline",0.509941267779278
581,"cp_source_tensor",0.509897450525767
582,"sex_one-hot",0.509813968808563
583,"exang_source_tensor",0.509770352220393
584,"exang_source_tensor",0.509726871016434
585,"cp_source_tensor",0.509683403555834
586,"exang_source_tensor",0.509640129134503
587,"cp_source_tensor",0.509596880673706
588,"trestbps_spline",0.509537223966606
589,"exang_source_tensor",0.509494160224669
590,"cp_source_tensor",0.509451122539906
591,"exang_source_tensor",0.509408263255508
592,"cp_source_tensor",0.5093654420063
593,"exang_source_tensor",0.509322786034359
594,"cp_source_tensor",0.509280179918362
595,"thalach_spline",0.509217394128314
596,"exang_source_tensor",0.509175012680784
597,"oldpeak_spline",0.509115719833888
598,"cp_source_tensor",0.509073414364664
599,"trestbps_spline",0.509015221885731
600,"exang_source_tensor",0.508973103766178
601,"cp_source_tensor",0.508931003343441
602,"exang_source_tensor",0.508889084426921
603,"sex_one-hot",0.508809058350212
604,"cp_source_tensor",0.508767221951827
605,"exang_source_tensor",0.508725542621949
606,"cp_source_tensor",0.508683915497704
607,"exang_source_tensor",0.508642432897807
608,"exang_source_tensor",0.508601078439994
609,"cp_source_tensor",0.508559726828184
610,"trestbps_spline",0.508502808854421
611,"exang_source_tensor",0.508461653584868
612,"cp_source_tensor",0.508420501270857
613,"exang_source_tensor",0.508379539915114
614,"oldpeak_spline",0.508322239658414
615,"cp_source_tensor",0.508281311420971
616,"cp_source_tensor",0.508240520807975
617,"exang_source_tensor",0.508199873514594
618,"thalach_spline",0.508140318216169
619,"cp_source_tensor",0.50809979147262
620,"exang_source_tensor",0.508059400394047
621,"trestbps_spline",0.508003864020027
622,"cp_source_tensor",0.507963531637504
623,"exang_source_tensor",0.507923333967225
624,"sex_one-hot",0.507846588418906
625,"exang_source_tensor",0.507806553057206
626,"cp_source_tensor",0.507766535536442
627,"exang_source_tensor",0.507726687869331
628,"cp_source_tensor",0.507686868747807
629,"age_spline",0.50762754047566
630,"exang_source_tensor",0.507587921586608
631,"oldpeak_spline",0.507532610002364
632,"cp_source_tensor",0.507493046159319
633,"trestbps_spline",0.507438694069691
634,"exang_source_tensor",0.507399316217205
635,"cp_source_tensor",0.507359940942226
636,"exang_source_tensor",0.50732074716611
637,"cp_source_tensor",0.507281566392853
638,"thalach_spline",0.5072245964438
639,"exang_source_tensor",0.507185645586405
640,"cp_source_tensor",0.507146714495689
641,"exang_source_tensor",0.507107945330699
642,"cp_source_tensor",0.507069206098927
643,"trestbps_spline",0.507016118171949
644,"sex_one-hot",0.506942394804441
645,"age_spline",0.506884930797952
646,"exang_source_tensor",0.506846421299244
647,"cp_source_tensor",0.506807951056178
648,"exang_source_tensor",0.506769620781603
649,"cp_source_tensor",0.506731339682764
650,"exang_source_tensor",0.506693187642855
651,"oldpeak_spline",0.50663988129271
652,"cp_source_tensor",0.506601804379232
653,"exang_source_tensor",0.506563878792033
654,"trestbps_spline",0.506511917526713
655,"cp_source_tensor",0.506474020321982
656,"exang_source_tensor",0.506436273589655
657,"thalach_spline",0.506381667186975
658,"cp_source_tensor",0.506344008261203
659,"exang_source_tensor",0.50630649146065
660,"age_spline",0.506250904100439
661,"cp_source_tensor",0.506213465550394
662,"exang_source_tensor",0.506176160134951
663,"cp_source_tensor",0.506138904545458
664,"exang_source_tensor",0.506101771725961
665,"trestbps_spline",0.5060509526137
666,"sex_one-hot",0.505980134537491
667,"exang_source_tensor",0.505943150897179
668,"cp_source_tensor",0.505906172808903
669,"exang_source_tensor",0.505869360070162
670,"oldpeak_spline",0.505817948855595
671,"cp_source_tensor",0.5057811659586
672,"cp_source_tensor",0.505744504815823
